N,Threads,Temps_ns
10,1,0
10,2,4666900
10,4,0
10,8,0
10,16,4280800
50,1,793200
50,2,0
50,4,0
50,8,0
50,16,6540000
100,1,0
100,2,0
100,4,0
100,8,0
100,16,0
500,1,0
500,2,0
500,4,0
500,8,0
500,16,8079100
1000,1,0
1000,2,0
1000,4,0
1000,8,0
1000,16,0
5000,1,0
5000,2,832000
5000,4,0
5000,8,0
5000,16,0
10000,1,0
10000,2,0
10000,4,0
10000,8,7419000
10000,16,0
50000,1,0
50000,2,0
50000,4,0
50000,8,8087600
50000,16,0
100000,1,5406800
100000,2,0
100000,4,2704900
100000,8,2514700
100000,16,2048800
500000,1,8338400
500000,2,5380000
500000,4,3053600
500000,8,0
500000,16,0
1000000,1,7868000
1000000,2,6101400
1000000,4,6491000
1000000,8,3781700
1000000,16,6491200
3000000,1,35662000
3000000,2,13938000
3000000,4,8118900
3000000,8,8520800
3000000,16,8130200
